t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,2.7591e-08,-0.05,-0.049924,0.20935,0.79324,-0.78947,-0.028453,-0.058739,-0.031532,0.038429,0.015023,-0.066395,2.7591e-08,0.05,-0.049924,-0.20935,0.79324,0.78947,-0.028453,0.058739,-0.031532,-0.038429,0.015023,0.066395,-7.0603e-07,-5.1248e-11,-0.0039019,-3.3973e-10,0.058604,-1.9437e-09,-0.0030745,-1.6835e-10,-0.0023526,-7.2454e-12,0.00099384,-3.1067e-11
