t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.21495,0.21495,5.0943
0.02,0.2385,0.2385,5.1089
0.03,0.26204,0.26204,5.1235
0.04,0.28558,0.28559,5.1381
0.05,0.30913,0.30913,5.1527
0.06,0.33267,0.33268,5.1673
0.07,0.35622,0.35622,5.1819
0.08,0.37976,0.37977,5.1965
0.09,0.4033,0.40332,5.2112
0.1,0.42685,0.42686,5.2258
0.11,0.45039,0.45041,5.2404
0.12,0.47394,0.47395,5.255
0.13,0.49748,0.4975,5.2696
0.14,0.52102,0.52104,5.2842
0.15,0.54457,0.54459,5.2988
0.16,0.56811,0.56813,5.3134
0.17,0.59166,0.59168,5.328
0.18,0.60867,0.60869,5.3398
0.19,0.5989,0.59892,5.3398
0.2,0.58914,0.58916,5.3398
0.21,0.57937,0.57939,5.3398
0.22,0.56961,0.56963,5.3398
0.23,0.55985,0.55986,5.3398
0.24,0.55008,0.55009,5.3398
0.25,0.54032,0.54033,5.3398
0.26,0.53055,0.53056,5.3398
0.27,0.52079,0.5208,5.3398
0.28,0.51103,0.51103,5.3398
0.29,0.50126,0.50127,5.3398
0.3,0.4915,0.4915,5.3398
0.31,0.48173,0.48174,5.3398
0.32,0.47197,0.47197,5.3398
0.33,0.46221,0.4622,5.3398
0.34,0.45244,0.45244,5.3398
0.35,0.44268,0.44267,5.3398
0.36,0.43678,0.43677,5.3398
0.37,0.43686,0.43685,5.3398
0.38,0.43694,0.43693,5.3398
0.39,0.43702,0.43701,5.3398
0.4,0.4371,0.43709,5.3398
0.41,0.43717,0.43717,5.3398
0.42,0.43725,0.43725,5.3398
0.43,0.43733,0.43733,5.3398
0.44,0.43741,0.43741,5.3398
0.45,0.43749,0.43749,5.3398
0.46,0.43757,0.43757,5.3398
0.47,0.43765,0.43765,5.3398
0.48,0.43773,0.43773,5.3398
0.49,0.43781,0.43781,5.3398
0.5,0.43789,0.43789,5.3398
0.51,0.43797,0.43797,5.3398
0.52,0.43805,0.43805,5.3398
0.53,0.43813,0.43813,5.3398
0.54,0.43734,0.43734,5.3398
0.55,0.43595,0.43595,5.3398
0.56,0.43456,0.43456,5.3398
0.57,0.43317,0.43317,5.3398
0.58,0.43178,0.43178,5.3398
0.59,0.43039,0.43039,5.3398
0.6,0.429,0.429,5.3398
0.61,0.42761,0.4276,5.3398
0.62,0.42621,0.42621,5.3398
0.63,0.42482,0.42482,5.3398
0.64,0.42343,0.42343,5.3398
0.65,0.42204,0.42204,5.3398
0.66,0.42065,0.42065,5.3398
0.67,0.41926,0.41926,5.3398
0.68,0.41787,0.41787,5.3398
0.69,0.41648,0.41648,5.3398
0.7,0.41509,0.41508,5.3398
0.71,0.4137,0.41369,5.3398
0.72,0.41265,0.41265,5.3398
0.73,0.41169,0.41169,5.3398
0.74,0.41074,0.41074,5.3398
0.75,0.40979,0.40979,5.3398
0.76,0.40883,0.40883,5.3398
0.77,0.40788,0.40788,5.3398
0.78,0.40693,0.40692,5.3398
0.79,0.40597,0.40597,5.3398
0.8,0.40502,0.40502,5.3398
0.81,0.40406,0.40406,5.3398
0.82,0.40311,0.40311,5.3398
0.83,0.40216,0.40216,5.3398
0.84,0.4012,0.4012,5.3398
0.85,0.40025,0.40025,5.3398
0.86,0.3993,0.3993,5.3398
0.87,0.39834,0.39834,5.3398
0.88,0.39739,0.39739,5.3398
0.89,0.39644,0.39643,5.3398
0.9,0.39566,0.39566,5.3398
0.91,0.39489,0.39489,5.3398
0.92,0.39412,0.39412,5.3398
0.93,0.39335,0.39335,5.3398
0.94,0.39258,0.39258,5.3398
0.95,0.39181,0.39181,5.3398
0.96,0.39104,0.39104,5.3398
0.97,0.39027,0.39027,5.3398
0.98,0.3895,0.3895,5.3398
0.99,0.38873,0.38873,5.3398
1,0.38796,0.38796,5.3398
1.01,0.38719,0.38719,5.3398
1.02,0.38642,0.38642,5.3398
1.03,0.38565,0.38565,5.3398
1.04,0.38488,0.38488,5.3398
1.05,0.38411,0.38411,5.3398
1.06,0.38334,0.38334,5.3398
1.07,0.3826,0.3826,5.3398
1.08,0.38199,0.38199,5.3398
1.09,0.38138,0.38138,5.3398
1.1,0.38077,0.38077,5.3398
1.11,0.38016,0.38016,5.3398
1.12,0.37955,0.37955,5.3398
1.13,0.37894,0.37894,5.3398
1.14,0.37833,0.37832,5.3398
1.15,0.37772,0.37771,5.3398
1.16,0.37711,0.3771,5.3398
1.17,0.3765,0.37649,5.3398
1.18,0.37589,0.37588,5.3398
1.19,0.37528,0.37527,5.3398
1.2,0.37467,0.37466,5.3398
1.21,0.37405,0.37405,5.3398
1.22,0.37344,0.37344,5.3398
1.23,0.37283,0.37283,5.3398
1.24,0.37222,0.37222,5.3398
1.25,0.37166,0.37166,5.3398
1.26,0.37118,0.37118,5.3398
1.27,0.3707,0.3707,5.3398
1.28,0.37022,0.37022,5.3398
1.29,0.36975,0.36974,5.3398
1.3,0.36927,0.36926,5.3398
1.31,0.36879,0.36879,5.3398
1.32,0.36831,0.36831,5.3398
1.33,0.36783,0.36783,5.3398
1.34,0.36735,0.36735,5.3398
1.35,0.36687,0.36687,5.3398
1.36,0.36639,0.36639,5.3398
1.37,0.36592,0.36591,5.3398
1.38,0.36544,0.36543,5.3398
1.39,0.36496,0.36495,5.3398
1.4,0.36448,0.36447,5.3398
1.41,0.364,0.36399,5.3398
1.42,0.36352,0.36352,5.3398
1.43,0.3631,0.36309,5.3398
1.44,0.36272,0.36272,5.3398
1.45,0.36234,0.36234,5.3398
1.46,0.36197,0.36196,5.3398
1.47,0.36159,0.36158,5.3398
1.48,0.36121,0.36121,5.3398
1.49,0.36083,0.36083,5.3398
1.5,0.36045,0.36045,5.3398
1.51,0.36008,0.36007,5.3398
1.52,0.3597,0.3597,5.3398
1.53,0.35932,0.35932,5.3398
1.54,0.35894,0.35894,5.3398
1.55,0.35857,0.35856,5.3398
1.56,0.35819,0.35819,5.3398
1.57,0.35781,0.35781,5.3398
1.58,0.35743,0.35743,5.3398
1.59,0.35705,0.35705,5.3398
1.6,0.35668,0.35667,5.3398
1.61,0.35635,0.35635,5.3398
1.62,0.35605,0.35604,5.3398
1.63,0.35574,0.35574,5.3398
1.64,0.35543,0.35543,5.3398
1.65,0.35513,0.35512,5.3398
1.66,0.35482,0.35482,5.3398
1.67,0.35451,0.35451,5.3398
1.68,0.35421,0.3542,5.3398
1.69,0.3539,0.3539,5.3398
1.7,0.35359,0.35359,5.3398
1.71,0.35329,0.35328,5.3398
1.72,0.35298,0.35298,5.3398
1.73,0.35267,0.35267,5.3398
1.74,0.35237,0.35236,5.3398
1.75,0.35206,0.35206,5.3398
1.76,0.35175,0.35175,5.3398
1.77,0.35145,0.35144,5.3398
1.78,0.35114,0.35114,5.3398
1.79,0.35087,0.35087,5.3398
1.8,0.35061,0.3506,5.3398
1.81,0.35034,0.35033,5.3398
1.82,0.35007,0.35007,5.3398
1.83,0.34981,0.3498,5.3398
1.84,0.34954,0.34953,5.3398
1.85,0.34927,0.34927,5.3398
1.86,0.349,0.349,5.3398
1.87,0.34874,0.34873,5.3398
1.88,0.34847,0.34847,5.3398
1.89,0.3482,0.3482,5.3398
1.9,0.34794,0.34793,5.3398
1.91,0.34767,0.34767,5.3398
1.92,0.3474,0.3474,5.3398
1.93,0.34714,0.34713,5.3398
1.94,0.34687,0.34687,5.3398
1.95,0.3466,0.3466,5.3398
1.96,0.34634,0.34633,5.3398
1.97,0.34608,0.34607,5.3398
1.98,0.34582,0.34581,5.3398
1.99,0.34556,0.34555,5.3398
2,0.3453,0.34529,5.3398
2.01,0.34504,0.34503,5.3398
2.02,0.34477,0.34477,5.3398
2.03,0.34451,0.34451,5.3398
2.04,0.34425,0.34425,5.3398
2.05,0.34399,0.34399,5.3398
2.06,0.34373,0.34373,5.3398
2.07,0.34347,0.34347,5.3398
2.08,0.34321,0.34321,5.3398
2.09,0.34295,0.34295,5.3398
2.1,0.34269,0.34269,5.3398
2.11,0.34243,0.34243,5.3398
2.12,0.34217,0.34217,5.3398
2.13,0.34191,0.34191,5.3398
2.14,0.34164,0.34164,5.3398
2.15,0.34135,0.34135,5.3398
2.16,0.34106,0.34106,5.3398
2.17,0.34077,0.34077,5.3398
2.18,0.34048,0.34048,5.3398
2.19,0.34019,0.34019,5.3398
2.2,0.33991,0.3399,5.3398
2.21,0.33962,0.33961,5.3398
2.22,0.33933,0.33932,5.3398
2.23,0.33904,0.33903,5.3398
2.24,0.33875,0.33874,5.3398
2.25,0.33846,0.33845,5.3398
2.26,0.33817,0.33816,5.3398
2.27,0.33788,0.33787,5.3398
2.28,0.33759,0.33758,5.3398
2.29,0.3373,0.33729,5.3398
2.3,0.33701,0.337,5.3398
2.31,0.33672,0.33671,5.3398
2.32,0.33639,0.33639,5.3398
2.33,0.33604,0.33603,5.3398
2.34,0.33568,0.33567,5.3398
2.35,0.33532,0.33531,5.3398
2.36,0.33496,0.33496,5.3398
2.37,0.3346,0.3346,5.3398
2.38,0.33425,0.33424,5.3398
2.39,0.33389,0.33388,5.3398
2.4,0.33353,0.33353,5.3398
2.41,0.33317,0.33317,5.3398
2.42,0.33282,0.33281,5.3398
2.43,0.33246,0.33245,5.3398
2.44,0.3321,0.3321,5.3398
2.45,0.33174,0.33174,5.3398
2.46,0.33138,0.33138,5.3398
2.47,0.33103,0.33102,5.3398
2.48,0.33067,0.33066,5.3398
2.49,0.33031,0.33031,5.3398
2.5,0.32987,0.32987,5.3398
2.51,0.3294,0.3294,5.3398
2.52,0.32894,0.32893,5.3398
